flight_number,airline_name,aircraft_registration,origin_iata,destination_iata,scheduled_time,actual_time,status,flight_type
AI 1812,Air India,,,RPR,2026-01-02 05:40Z,,Unknown,arrival
AI 1810,Air India,VT-TNM,,SXR,2026-01-02 05:50Z,,Unknown,arrival
6E 2051,IndiGo,,,HYD,2026-01-02 05:50Z,,Unknown,arrival
AI 2385,Air India,VT-EXL,,KUL,2026-01-02 06:00Z,,Expected,arrival
6E 7443,IndiGo,,,BKB,2026-01-02 06:00Z,,Unknown,arrival
IX 1276,Air India Express,,,IXE,2026-01-02 06:00Z,,Unknown,arrival
KB 200,Drukair,A5-JKW,,PBH,2026-01-02 06:00Z,,Unknown,arrival
AI 2572,Air India,,,VGA,2026-01-02 06:00Z,,Unknown,arrival
AI 2381,Air India,VT-TSH,,SIN,2026-01-02 06:05Z,,Expected,arrival
IX 5014,Air India Express,VT-BKK,,BLR,2026-01-02 06:05Z,,Expected,arrival
AI 496,Air India,VT-PPT,,ATQ,2026-01-02 06:10Z,,Unknown,arrival
AI 214,Air India,VT-EXQ,,KTM,2026-01-02 06:20Z,,Unknown,arrival
AI 2868,Air India,VT-TQR,,BLR,2026-01-02 06:30Z,,Expected,arrival
AI 2868,Air India,VT-TQR,,BLR,2026-01-02 06:30Z,,Expected,arrival
AI 1864,Air India,,,JSA,2026-01-02 06:30Z,,Unknown,arrival
AI 1864,Air India,,,JSA,2026-01-02 06:30Z,,Unknown,arrival
AI 282,Air India,VT-EDE,,CMB,2026-01-02 06:30Z,,Unknown,arrival
AI 282,Air India,VT-EDE,,CMB,2026-01-02 06:30Z,,Unknown,arrival
AI 2333,Air India,VT-EXM,,BKK,2026-01-02 06:35Z,,Expected,arrival
6E 871,IndiGo,VT-IWS,,BLR,2026-01-02 06:40Z,,Expected,arrival
6E 6052,IndiGo,,,BOM,2026-01-02 06:40Z,,Unknown,arrival
AI 2430,Air India,,,BOM,2026-01-02 06:45Z,,Unknown,arrival
6E 5077,IndiGo,,,CCU,2026-01-02 06:50Z,,Unknown,arrival
MH 172,Malaysia,9M-MVC,,KUL,2026-01-02 06:50Z,,Expected,arrival
AI 1814,Air India,VT-TQB,,BBI,2026-01-02 06:50Z,,Unknown,arrival
AI 2379,Air India,VT-CIN,,HKT,2026-01-02 06:55Z,,Expected,arrival
AI 315,Air India,VT-ANC,,HKG,2026-01-02 06:55Z,,Expected,arrival
6E 1152,IndiGo,,,KTM,2026-01-02 07:05Z,,Unknown,arrival
AI 2536,Air India,VT-EXV,,CCU,2026-01-02 07:10Z,,Unknown,arrival
AI 880,Air India,VT-PPQ,,GAU,2026-01-02 07:10Z,,Unknown,arrival
IX 1068,Air India Express,VT-BWL,,IXB,2026-01-02 07:20Z,,Unknown,arrival
AI 102,Air India,VT-JRA,,JFK,2026-01-02 06:50Z,2026-01-02 07:28Z,Expected,arrival
